Laquelle de ces célébrations correspond au plus important pic de naissance neuf mois plus tard ?;Le nouvel an;Le solstice d’été;Noël;La Saint Valentin;Le nouvel an;nouvel;http://www.sciencesetavenir.fr/sante/grossesse/23-septembre-le-baby-boom-du-jour-de-l-an_27928
Il est impossible de trouver une perle dans les huitres que l’on déguste en période de fête.;Faux;Vrai;;;Faux;nouvel;http://www.lemonde.fr/les-decodeurs/article/2016/12/22/9-questions-pas-si-betes-que-vous-vous-posez-sur-la-nourriture-pendant-les-fetes_5052724_4355770.html
Omar Sy est la personnalité préférée des français pour la deuxième fois consécutive.;Vrai;Faux;;;Vrai;divers;http://www.leparisien.fr/laparisienne/actu-people/omar-sy-reste-la-personnalite-preferee-des-francais-en-2016-24-12-2016-6490146.php
Pour les salariés travaillant un 1er janvier, aucune rémunération supplémentaire n’est prévue par la loi.;Vrai;Faux;;;Vrai;premier;https://www.service-public.fr/particuliers/vosdroits/F2405
A partir du 1er janvier, une entreprise devra dénoncer les infractions routières de ces employés.;Vrai;Faux;;;Vrai;premier;http://lentreprise.lexpress.fr/gestion-fiscalite/responsabilites-assurances/exces-de-vitesse-des-salaries-les-petits-patrons-regrettent-la-delation_1862497.html
A partir du 1er janvier, la période d'interdiction du licenciement pour les mères revenant de congé maternité sera allongée de 4 à 10 semaines.;Vrai;Faux;;;Vrai;premier;http://lentreprise.lexpress.fr/rh-management/droit-travail/temps-de-travail-ce-que-la-loi-va-changer-pour-l-entreprise-et-le-salarie_1814494.html
A partir du 1er janvier, tous les sacs en plastique à usage unique seront interdits en France.;Vrai;Faux;;;Vrai;premier;http://www.lesechos.fr/31/03/2016/lesechos.fr/021807299289_sacs-en-plastique---chronique-d-une-mort-annoncee.htm
Quelle est la troisième langue la plus parlée dans le monde des affaires ?;Le français;Le chinois;L’allemand;L’espagnol;Le français;divers;http://www.lefigaro.fr/langue-francaise/actu-des-mots/2016/12/25/37002-20161225ARTFIG00001-le-francais-se-hisserait-au-3e-rang-des-langues-les-plus-parlees-au-monde.php
En moyenne les Français possèdent un patrimoine plus important que les Allemands.;Vrai;Faux;;;Vrai;divers;http://www.lesechos.fr/finance-marches/banque-assurances/0211623039909-patrimoine-les-francais-plus-riches-que-les-allemands-2052599.php
Né un 1er Janvier avec le lancement du protocole TCP/IP, quel âge a internet ?;33 ans;43 ans;23 ans;18 ans;33 ans;ne;https://fr.wikipedia.org/wiki/Suite_des_protocoles_Internet
Lancé il y a exactement 14 ans, combien y’a-t-il d’euros environ ?;10 800 Milliards;100 800 Milliards;1800 Milliards;180 Milliards;10 800 Milliards;ne;http://www.creationmonetaire.info/2016/01/masse-monetaire-e-janvier-2016-la-bce-credite-en-hyper-accelere.html
Né il y a 194 ans exactement, Louis Pasteur est l’inventeur de la vaccination.;Faux;Vrai;;;Faux;ne;https://fr.wikipedia.org/wiki/Vaccination#Histoire
Né il y a 94 ans exactement, lequel de ces personnages n’a pas été créé par Stan Lee ?;Superman;Spider-Man;Hulk;Les X-Men;Superman;ne;https://fr.wikipedia.org/wiki/Stan_Lee#.C3.82ge_d.27or_Marvel
